key,key:campaign,title,achievements,effort,kind
milestone-03,campaign-01,null,Documento base con los objetivos financieros y el plan de medios aprobado.,12.5,TEASER
milestone-04,campaign-01,,Documento base con los objetivos financieros y el plan de medios aprobado.,12.5,TEASER
milestone-05,campaign-01,     ,Documento base con los objetivos financieros y el plan de medios aprobado.,12.5,TEASER
milestone-06,campaign-01,Definición de EstrategiaAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Documento base con los objetivos financieros y el plan de medios aprobado.,12.5,TEASER
milestone-07,campaign-01,Definición de Estrategia,null,12.5,TEASER
milestone-08,campaign-01,Definición de Estrategia,,12.5,TEASER
milestone-09,campaign-01,Definición de Estrategia,    ,12.5,TEASER
milestone-10,campaign-01,Definición de Estrategia,Documento base con los objetivos financieros y el plan de medios aprobado.AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAaaaaaa,12.5,TEASER
milestone-11,campaign-01,Definición de Estrategia,Documento base con los objetivos financieros y el plan de medios aprobado.,null,TEASER
milestone-12,campaign-01,Definición de Estrategia,Documento base con los objetivos financieros y el plan de medios aprobado.,-0.1,TEASER
milestone-13,campaign-01,Definición de Estrategia,Documento base con los objetivos financieros y el plan de medios aprobado.,12.5,null







