key,key:spokesperson,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
campaign-01,spokesperson-01,FI26-FIN001,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://www.bancasegura.com, false
campaign-02,spokesperson-02,TE26-TEC002,IA Responsable,Iniciativa para la divulgación de prácticas éticas en el desarrollo de software.,2026/05/15 09:00,2026/08/15 09:00,https://www.etica-ia.org, false
campaign-03,spokesperson-01,IN26-INV003,Inversores del Mañana,Serie de conferencias para jóvenes inversores en mercados emergentes.,2026/06/20 12:00,2026/12/20 12:00,https://www.inversores.com, false
campaign-04,spokesperson-02,IN26-INV001,Inversores del Mañana,Serie de conferencias para jóvenes inversores en mercados emergentes.,2026/06/20 12:00,2026/12/20 12:00,https://www.inversores.com, true
campaign-05,spokesperson-02,IN26-INV010,Inversores del Mañana,Serie de conferencias para jóvenes inversores en mercados emergentes.,2026/06/20 12:00,2026/12/20 12:00,https://www.inversores.com, true
campaign-06,spokesperson-02,TE26-TECNICAS12,IA Responsable,Iniciativa para la divulgación de prácticas éticas en el desarrollo de software.,2026/05/15 09:00,2026/08/15 09:00,https://www.etica-ia.org, true
campaign-07,spokesperson-02,TE26-TECNICAS13,IA Responsable,Iniciativa para la divulgación de prácticas éticas en el desarrollo de software.,2026/05/15 09:00,2026/08/15 09:00,https://www.etica-ia.org, true
campaign-08,spokesperson-01,FI26-FIN002,B,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://www.bancasegura.com, true
campaign-09,spokesperson-01,FI26-FIN003,Ba,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://www.bancasegura.com, true
campaign-10,spokesperson-01,FI26-FIN004,Este es un texto de prueba que tiene exactamente setenta y cinco caracteres,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://www.bancasegura.com, true
campaign-11,spokesperson-01,FI26-FIN005,Este es un texto de prueba que tiene exactamente setenta y cinco caractere,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://www.bancasegura.com, true
campaign-12,spokesperson-02,FI26-FIN006,IA Responsable,I,2026/05/15 09:00,2026/08/15 09:00,https://www.etica-ia.org, true
campaign-13,spokesperson-02,FI26-FIN007,IA Responsable,In,2026/05/15 09:00,2026/08/15 09:00,https://www.etica-ia.org, true
campaign-14,spokesperson-02,FI26-FIN008,IA Responsable,Este es un texto de prueba diseñado para alcanzar exactamente los doscientos cincuenta y cinco caracteres de longitud total sin utilizar ningun tipo de tildes o caracteres especiales que puedan dar problemas en la validacion de campos de texto de Java.Ok.,2026/05/15 09:00,2026/08/15 09:00,https://www.etica-ia.org, true
campaign-15,spokesperson-02,FI26-FIN009,IA Responsable,Este es un texto de prueba diseñado para alcanzar exactamente los doscientos cincuenta y cinco caracteres de longitud total sin utilizar ningun tipo de tildes o caracteres especiales que puedan dar problemas en la validacion de campos de texto de Java.Ok,2026/05/15 09:00,2026/08/15 09:00,https://www.etica-ia.org, true
campaign-16,spokesperson-01,FI26-FIN111,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,http://a.cn, true
campaign-17,spokesperson-01,FI26-FIN112,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,"", true
campaign-18,spokesperson-01,FI26-FIN113,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,null, true
campaign-19,spokesperson-01,FI26-FIN114,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://google.com:443, true
campaign-20,spokesperson-01,FI26-FIN115,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://www.google.com/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, true
campaign-21,spokesperson-01,FI26-FIN116,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2026/10/01 10:00,https://www.google.com/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, true
campaign-22,spokesperson-01,FI26-FIN300,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2025/01/01 00:00,2026/04/01 10:00,https://www.bancasegura.com, true
campaign-23,spokesperson-01,FI26-FIN301,Banca Segura 2026,Campaña sobre educación financiera y ciberseguridad para clientes senior.,2026/04/01 10:00,2200/12/31 23:59,https://www.bancasegura.com, true
campaign-24,spokesperson-01,IN26-INV009,โลเร็ม อิปซัม,Serie de conferencias para jóvenes inversores en mercados emergentes.,2026/06/20 12:00,2026/12/20 12:00,https://www.inversores.com, true
campaign-25,spokesperson-01,IN26-INV015,Inversores del Mañana,洛伦·伊普森,2026/06/20 12:00,2026/12/20 12:00,https://www.inversores.com, true
